1466 2204 44460 Greystones, Ireland
2501 2238 26811 Winchester, VA
1724 959 84375 Emmer-Compascuum, Netherlands
1559 1899 94598 Bardstown, KY
178 21 11639 Gloucester, England
1474 2447 28004 Fowler, KS
1295 126 15724 Kilkenny, Ireland
173 1332 22629 Bath, ONT, Canada
1070 730 55502 Lafayette, LA
2923 2390 186541 Dana Point, CA
1997 2859 105831 Cape Girardeau, MO
1825 2844 102577 Cleveland, GA
2089 1691 95182 Manassas, VA
33 153 11782 Erie, PA
1480 1442 45958 Silver Spring, MD
970 2515 143757 Murphy, NC
2277 2287 62870 Chisasibi, QU, Canada
2287 2743 193521 Uppsala, Sweden
1982 2568 1850 Stoneville, NC
570 1562 114815 Fcamp, France
506 1754 89705 Jupiter, FL
313 1244 157742 Ingleside, ON, Canada
878 2979 142171 Windhoek, Namibia
249 1978 100905 Lake Benton, MN
1989 1599 21140 Orinda, CA
28 2768 128724 Guernsey, England
1556 1418 142549 Solvang, CA
2001 1327 121276 Essen, Germany
1942 506 126205 Oinville-sous-Auneau, France
2495 297 174138 La Rochelle, France
6 694 72832 Fredericksburg, VA
2215 468 82077 Rouen, France
2748 2462 77211 Minden, Germany
2739 2908 124132 Portici, Italy
1210 1178 177552 Melk, Austria
732 1253 128493 Roswell, NM
1209 1160 130562 Charleston, WV
1805 836 41005 Swansboro, NC
368 1240 6489 Novato, CA
2058 301 42882 Lewistown, PA
1583 1192 86115 Zagreb, Croatia
877 162 25312 Sofia, Bulgaria
1582 1487 162766 Bedford, VA
2398 1997 21149 Regensburg, Germany
762 2449 80690 Glen Ellyn, IL
937 2526 118911 Millerton, NY
196 1324 154270 Shippensburg, PA
2842 1422 71519 Worcester, MA
440 2167 133922 Asns, Denmark
742 2383 91507 Breedsville, MI
297 1414 13224 Muscat, Oman
646 665 168842 Geneva, Switzerland
200 2979 108658 Port Jefferson, NY
1518 2413 54616 Brampton, ON, Canada
439 2259 10013 Duncan, OK
2688 648 105075 Helmstedt, Germany
1459 1936 35884 Mays Landing, NJ
1628 1605 198655 Geraldton, W.Australia
1949 2465 105755 Charleston, RI
2328 2049 178340 Salvador, Brazil
2480 2540 47760 Jersey Shore, PA
1217 2582 187887 Los Fresnos, TX
886 861 99910 Ho Chi Minh City, Vietnam
1543 1183 26131 Rector, AR
2282 2482 105869 Lucky Lake, SSK, Canada
570 444 177527 Bratislava, Slovakia
395 2205 94510 Apex, NC
76 2481 47301 Clovis, NM
1870 259 148202 Center Moriches, NY
2617 2025 3777 Ponce, Puerto Rico
2856 557 41767 Ovid, MI
891 2957 188920 Talavera de la Reina, Spain
2429 2261 110852 Little Rock, AR
763 1890 45566 Cuernavaca, Mexico
1155 842 110130 Cheltenham, England
626 1525 9572 Poznan, Poland
729 32 195056 Drayton Valley, AL, Canada
2580 2417 49145 Mishawaka, IN
2876 2596 136296 Morristown, IN
813 2405 163686 Champaign-Urbana, IL
1476 2454 190603 Boca Raton, FL
396 2674 31549 Columbus, OH
500 618 74419 Sandusky, OH
2909 293 196946 International Falls, MN
2939 1700 73335 Gastonia, NC
1019 2153 199029 Owensboro, KY
805 2522 50258 Russell, KS
806 2451 20502 Galax, VA
38 829 92427 Newcastle, Australia
2391 2396 173631 Janesville, WI
1350 459 52765 Taunton, Somerset, England
2724 1740 49140 Leichlingen, Germany
2442 2804 51644 New York, NY
683 2331 52561 Hong Kong, China
2819 2247 69707 Warren, PA
51 194 151765 Taipei, Taiwan
1576 501 103615 Lebanon, NH
816 117 90821 Fayetteville, GA
1647 723 3575 Yuma, AZ
159 168 132819 Prior Lake, MN
1491 2317 98489 Stanford, KY
87 2752 154424 Albany, GA
845 2907 53435 Placentia, CA
612 724 177070 Delphi, IN
562 1758 116213 Thornbury, ON, Canada
1396 184 21364 Fenton, MI
2542 737 41785 Soham, England
1521 1026 128796 Oakland, CA
2929 1060 116353 Lausanne, Switzerland
977 151 122401 Barbastro, Spain
484 2065 142528 Deltona, FL
682 2935 53076 Orange, CA
2661 2671 142945 Aurora, CO
489 1368 58315 Independence, KS
455 1966 193619 Middleville, MI
1429 626 155486 Green Valley, AZ
2498 388 31773 South Plainfield, NJ
2890 892 66708 Bancroft, ON, Canada
2582 868 3659 Hickory, NC
2896 1483 110013 North Attleboro, MA
1851 1480 53120 Punxutawney, PA
1476 701 140080 Villahermosa, Mexico
2991 2585 34090 Dennis Port, MA
787 898 198656 Marion, OH
1879 1501 165990 Cuthbert, GA
1453 1097 160146 Chehalis, WA
768 856 101214 Gouda, Netherlands
1338 1776 98256 Chibougamau, Canada
1776 2475 69612 Krasnoyarsk, Russia
2008 1848 149215 Vernon, CT
509 408 190771 Landisburg, PA
1088 1048 69841 Walvis Bay, Namibia, Africa
1954 2779 102738 Destin, FL
2901 274 102890 Redmond, WA
1649 696 167126 Ipoh, Malaysia
2717 1959 167310 Lakewood, CA
1861 34 55697 Helsingborg, Sweden
1775 1453 142388 Kristiansand, Norway
59 529 15316 Murrieta, CA
77 2107 72788 Ninety Six, SC
1734 2378 141789 Bowen, QLD, Australia
928 1658 114297 Vernon, France
2093 362 13926 San Juan Capistrano, CA
1289 2534 26439 Bluefield, WV
2348 2758 143414 Split, Croatia
36 1737 137161 Hamilton, MI
205 2696 151475 Ketchikan, AK
919 2196 88207 Jasper, GA
2700 2761 77725 Meribel-Mottaret, France
2993 1156 121635 Carterville, IL
1504 1354 130355 Mount Magnet, W.Australia
2364 1041 173687 Newry, ME
1929 2001 29281 Dubuque, IA
2023 2195 44795 Munster, IN
1629 2451 85700 Andalusia, AL
74 2127 40481 Vernon, BC, Canada
2030 1262 27719 Santa Clarita, CA
355 2970 24482 Malaga, Spain
171 16 69120 White Plains, NY
1683 2973 56137 Kalkaska, MI
2627 1421 49598 St. Charles, IL
105 1857 45527 Peachtree City, GA
1098 2040 165889 Alessandria, Italy
345 2171 165812 Skive, Denmark
2193 2661 114955 Fort Wayne, IN
804 1388 112915 Jerseyville, IL
930 2306 136571 Columbus, NE
967 1504 17307 Tuxtla Gutirrez, Mexico
1373 2585 104337 Princeton, WV
204 2529 174575 Edinburg, IN
1586 2996 84330 Morges, Switzerland
137 2169 34606 Chesterton, IN
1286 2622 165175 Downers Grove, IL
1419 1611 185736 Adel, IA
2449 636 15119 Huskvarna, Sweden
1741 312 150634 Sudbury, Canada
797 456 186533 Lawton, MI
430 2008 51945 Athens, GA
1255 922 68316 Dundee, Scotland, UK
2652 1527 89414 Hernando, FL
1100 1032 188281 Livingston Manor, NY
2982 2647 28761 Greenwood, SC
2504 136 158039 Spartanburg, SC
1397 1392 88054 Celle, Germany
412 575 87655 La Quinta, CA
782 89 140019 Hanover/Lebanon, NH
1913 2663 99324 Tamarite de Litera, Spain
2779 1950 16336 Huntsville, AL
2349 1054 5663 Armstrong, IA
2849 1296 42304 Crescent City, FL
1888 2101 129455 Passaic, NJ
2183 2440 6675 Lombard, IL
1381 753 9597 Everman, TX
1008 2189 5212 Hamilton, New Zealand
860 745 118156 La Paz, Bolivia
645 2738 185839 Kungsbacka, Sweden
2549 2141 182130 Springdale, AR
2052 1865 113043 Yverdon, Switzerland
1405 1570 126314 Easton, PA
831 2938 9612 Hinesville, GA
2760 1182 138916 Oamaru, SI, New Zealand
1549 2979 9848 Torrelavega, Spain
2128 884 196218 Carnarvon, Australia
2433 2073 35199 Batesville, IN
2755 1471 75254 Branford, CT
2176 2317 82231 Eagle River, WI
578 2351 60777 Longford, Rep. Of Ireland
1212 436 183495 Cahors, France
1821 2119 38828 Iqaluit, NWT, Canada
1737 664 3763 Richmond Heights, OH
2407 813 109675 Fairview, OK
42 1604 71178 Jefferson City, MO
433 2674 111318 Wykoff, MN
1887 300 143076 Columbus, MS
523 2660 198631 Gallatin, TN
1565 103 189482 Tours, France
2682 67 64882 Kumla, Sweden
157 1635 179236 Leicester, England
295 1360 21679 Flemington, NJ
1275 679 113291 Grand Rapids, MI
898 2161 82926 Walled Lake, MI
2739 2393 80273 Williamstown, KY
339 1049 18085 Port Louis, Mauritius
1422 2267 24151 North Bennington, VT
1422 2282 30740 Ossipee, NH
408 1266 98250 Warren, NH
621 2722 105439 Rindge, NH
1943 593 104041 Clear Lake, IA
1501 528 85161 Creswell, OR
1140 2059 84914 Kitchener, ONT, Canada
497 2622 130127 Capitola, CA
2215 440 126065 Hornbrook, Denmark
663 1218 187074 Greenwood, IN
13 2765 194611 Tuscumbia, AL
2702 1984 154310 Hodgenville, KY
506 1459 102526 Bend, OR
1453 145 188390 Magdeburg, Germany
983 1708 104726 Martin, TN
1756 2181 34334 Birmingham, MI
966 1792 190367 Esbjerg, Denmark
1071 1511 144209 Ellijay, GA
1469 1798 108972 Manchester, NH
585 2087 197153 Erie, KS
66 2860 23091 Fairfield, OH
586 1490 6606 Somerset, KY
976 2399 190203 Kona, HI
2585 2857 52951 Fort Payne, AL
487 2127 162232 Hernando, MS
1993 2761 130715 Odessa, WA
1562 1845 103648 Novi Sad, Yugoslavia (form.)
1666 1739 53238 Cobourg, ON, Canada
2830 2834 140513 Watertown, NY
122 2289 154743 Bethlehem, PA
2848 2732 126926 Grand Junction, CO
355 513 164086 Ashtabula, OH
1622 980 8844 North Wales, PA
1865 688 150032 Albany, W.Australia
1959 2211 19315 Ipswich, England, UK
1931 1000 196508 Rockford, IL
2166 471 62240 Osnabreck, Germany
118 1418 105095 Colrain, MA
1425 2305 125676 Moddy, AL
623 2567 171746 Launceston, Australia
602 1723 137445 Martinsville, VA
924 1162 37055 Kenton, MI
2639 2639 184341 Longview, WA
1654 1911 118704 Hawthorne, NJ
1633 234 164434 Blackshear, GA
456 1407 126130 Beaver Crossing, NE
135 2980 44023 Hermann, MO
77 2717 137467 Groton, CT
2349 2669 70261 Green Brier, TN
1422 2675 32865 Coral Springs, FL
375 782 88112 Invercargill, New Zealand
462 1564 161412 New Brunswick, NJ
2744 352 26894 Bridgetown, Barbados, West Indes
1791 738 40038 Curitiba, Brazil
1782 1410 12012 Monroe, MI
2318 1189 107390 Cebu City, Philippines
1985 1862 122835 Kearney, NE
267 938 43150 Grinnell, IA
2554 2739 163175 West Monroe, LA
1361 761 180787 Leonberg, Germany
823 1118 130627 Girard, KS
991 2397 2144 Burlington, VT
2096 1064 36411 Prince Albert, SSK, Canada
1556 320 175289 Wewoka, OK
1063 652 24547 Salisbury, MD
708 1233 173232 New Roads, LA
758 340 131101 Hendersonville, TN
1379 516 101092 Bath, NY
201 2533 97187 Quebec, Canada
1733 2350 89869 Marysville, WA
466 1738 176596 New Castle, PA
110 1039 127510 Dar es Salaam, Tanzania
1134 805 71993 New Canaan, CT
790 2442 194936 El Segundo, CA
1416 2220 168207 Colmar, France
1346 2870 174017 Paramus, NJ
1691 361 122910 East Aurora, NY
1372 315 147982 Osage Beach, MO
1810 1429 113252 Macomb, IL
2944 1909 121955 Ste. Rose du Lac, MN, Canada
2363 2301 126596 Merredin, W.Australia
2573 1091 51063 Hollister, CA
1168 2403 103323 Kenton, TN
1274 530 162542 Lugo, Spain
142 2077 85999 Moreno Valley, CA
1695 1291 116154 Saarbrucken, Germany
2353 1620 87999 Clatskanie, OR
2672 1815 12448 Kourou, French Guiana
556 352 197065 Mentone, CA
1677 2915 130954 Port Gentil, Gabon, West Africa
2310 2046 108144 Marshall, NC
1165 2042 48063 Casar, NC
2448 2755 164755 Bladenboro, NC
282 1062 13727 Gilbert, MN
1756 2297 124646 Greenville, NC
256 2241 39740 Woodhull, NY
1443 2930 123695 Warner Robins, GA
2911 1917 105412 Blackpool, England
1691 1171 156230 Idabel, OK
1010 2190 28039 Nashville, AR
388 607 5868 Cudahy, WI
402 1116 97192 Clintwood, VA
49 1793 148204 Trostberg, Germany
1253 372 77311 Bowie, MD
2935 133 169174 Pescadero, CA
1009 2330 188187 Milledgeville, GA
180 2756 190115 Barton City, MI
2800 1419 141958 Whitehorse, Canada
1402 193 20193 Fort Riley, KS
1149 2061 87289 Mexico City, Mexico
1051 181 40273 Bluffton, SC
2706 2017 124367 Nancy, France
597 1899 45184 Rochester, NY
2235 1315 72036 Starkville, MS
422 2804 182796 Manhattan, KS
684 379 18619 Grove, OK
2596 1451 191226 Trenton, NJ
2593 284 180562 Casa Grande, AZ
2196 1454 113654 La Verne, CA
2995 1078 54531 Sault Ste. Marie, Canada
1810 313 160722 Ponca City, OK
419 2813 144211 Danville, IL
13 2867 160038 Cumberland, MD
2548 2785 30575 Cceres, Spain
1364 2453 168959 Ferris, TX
2047 2344 81570 Mashpee, MA
1015 358 182795 Prairie City, OR
2265 2552 92911 Ijsselstein, Netherlands
290 213 147990 Gary, IN
1544 2427 172061 Burke, VA
87 1685 138858 Saint Cloud, MN
787 867 185114 Leeuwarden, Netherlands
2397 911 181860 Belo Horizonte, Brazil
2150 278 97778 Kern River Valley, CA
799 737 141803 Kentville, NS, Canada
2819 1465 42119 Cambridge, England
736 956 185159 Bad Neustadt a.d.S., Germany
465 2339 45776 Gibsonburg, OH
1502 2777 85132 Scottsdale, AZ
1452 2321 109152 Lahore, Pakistan
401 1 151430 Darmstadt, Germany
2378 343 48144 Accra, Ghana
342 2422 78195 Osaka, Japan
480 1552 173359 Carman, Canada
1511 2235 172527 Lancaster, CA
2398 2135 89646 Oulu, Finland
348 1832 183065 Glenview, IL
9 2754 88625 Yazoo City, MS
393 2854 47121 Stone Mountain, GA
2437 1917 181259 Perth, Australia
1941 1625 181050 Bangalore, India
300 137 21645 Berkeley Springs, WV
1400 1619 98275 Kathmandu, Nepal
680 1303 132619 Conroe, TX
1526 1800 89225 Stockton, CA
2360 1799 61931 Jackson, WY
1982 2779 112419 Bloomington, MN
2275 1812 165936 Alpena, MI
1910 2300 171993 Bowling Green, KY
1875 924 52922 Elko, NV
1599 2316 13427 Basel, Switzerland
2118 913 159796 Dahlenburg, Germany
2623 1595 94693 Munster, Germany
1204 464 41480 Forster, NSW, Australia
1856 1180 72374 Culpeper, VA
1342 2415 136202 Colon, MI
2588 2803 171796 Lawrence, KS
1226 1133 113676 San Luis Potos, Mexico
1025 470 197179 San Bernardino, CA
1582 1089 72531 Lulea, Sweden
55 382 158569 Brick, NJ
2546 2421 27954 Grand Falls, NWF, Canada
1392 2838 197094 Garden Plain, KS
2104 2537 8391 Waxahachie, TX
867 2287 101593 Burlington, WA
1244 475 125065 Chinook, MT
2694 49 175235 Utica, NY
2684 625 98453 Toronto, Canada
1037 1828 4664 Joliet, IL
1172 2266 95878 Gladstone, QU, Australia
2118 1164 120128 Goreville, IL
245 2999 67648 Tazewell, VA
1999 1536 123075 St. Charles, MO
2899 1677 20874 Worland, WY
851 249 137109 Tuscaloosa, AL
2182 898 24422 Fuquay-Varina, NC
1532 2301 40620 Gothenburg, Sweden
2442 438 37954 Troy, NC
2187 2811 169397 Saco, ME
2400 2197 85451 Wilmington, DE
2928 2950 34037 West Long Branch, NJ
2092 30 105895 Camarillo, CA
1625 2567 111570 Hastings, England
431 1278 29402 Hackettstown, NJ
714 2081 13229 Charles City, IA
462 1228 83424 Lexington, VA
2238 268 152520 Norcross, GA
297 579 18941 Bastrop, LA
1566 745 92087 Dearborn, MI
1932 1173 54403 Leningrad, Russia
1502 2947 142518 South Pittsburg, TN
1523 1748 43487 Lawrenceville, GA
2735 567 28827 Bonn, Germany
1653 64 96162 Wrentham, MA
286 1890 97334 Rolla, MO
1966 162 99242 Fall River, MA
1097 2058 54948 Mesa,AZ
534 1345 173068 Poole, England
724 193 74041 Muscatine, IA
111 1033 73789 Maryborough, QU, Australia
827 142 142654 Barrie, ONT, Canada
1848 978 26807 Jassy, Romania
1938 615 133645 Marion, IN
705 2654 13315 Banta, CA
143 2245 49145 Port Angeles, WA
495 1305 111214 Worthing, England
2231 182 122614 Dortmund, Germany
10 1659 63889 Herne, Germany
365 396 19196 Bristolville, OH
1867 1830 156340 Fort Myers, FL
1242 995 175407 Keene, NH
2912 913 148979 Chester, England
1606 1149 192371 Midland Park, NJ
2783 1323 49788 Santa Ana, CA
1983 2999 185433 Montevideo, Uruguay
2921 501 136020 Massillon, OH
1358 1140 84303 Delhi, India
992 830 163710 Athens, Greece
2121 2254 172243 Decatur, AL
403 2335 143788 Boulder, CO
874 570 105919 Oxford, CT
308 1643 154847 Corona, CA
730 2730 95945 Bradford, PA
2526 866 11226 Riom, France
1806 719 3790 Woodbridge, VA
138 436 6476 Portland, OR
838 2953 100614 Kingman, AZ
2664 1583 79620 Northeim, Germany
77 137 127538 Kabul, Afghanistan
414 588 7599 Ypsilanti, MI
2049 412 3565 Sutton, WV
1547 2088 106467 Anderson, IN
826 901 82431 Hamburg, MI
635 243 91595 Broken Hill, NSW, Australia
1687 1315 183206 Crow Agency, MT
2556 1069 95377 Port Charlotte, FL
770 2767 189741 Monrovia, CA
1581 2021 145059 Brussels, Belgium
2718 286 164801 Timmins, ONT, Canada
1481 1914 93632 Windsor, CT
1217 83 149787 Plymouth, MA
1899 2015 32959 Duisburg, Germany
908 567 44646 Ascension Island
2852 1011 15501 Seneca Rocks, WV
1484 995 22987 Kennebunk, ME
1359 2245 115188 Vista, CA
1812 1667 191316 Angelica, NY
2604 2047 88257 Angers, France
345 1269 149068 Gmunden, Austria
2803 1201 197332 Davis, CA
460 1177 138219 Fairbanks, AK
2305 1937 81364 Yuba City, CA
56 585 155913 Binghamton, NY
836 1517 6072 Lahti, Finland
2579 1958 99495 Ribeiro Preto, Brazil
1132 1036 17474 Adrian, MI
1863 325 176577 Santo Domingo, Dominican Republic
1246 362 25761 Turin/Torino, Italy
2557 1791 91568 Elliot Lake, ON, Canada
712 2056 140722 Bolivar, OH
184 725 111599 Mill Valley, CA
1800 2910 125591 Palmdale, CA
793 2388 119534 Aspen, CO
549 291 123289 Birmingham, AL
2119 91 186288 Durham, NC
2728 2062 26423 Devine, TX
1100 2817 20496 Hendersonville, NC
442 1339 141652 Songkhla, Thailand
736 1667 113131 Wroclaw, Poland
1088 1107 95353 Rabat, Malta
1504 2301 101345 Schroon Lake, NY
1292 1877 140393 Hot Springs, AR
41 2685 28444 Montpellier, France
1321 2417 187079 Sault Ste. Marie, MI
832 2892 189491 Kununurra, West. Australia
428 823 59210 Monroe, CT
1709 1234 1699 Grass Valley, CA
359 592 57946 Sedona, AZ
87 1272 100290 Narragansett, RI
501 2215 83200 Emerald, QU, Australia
485 2262 7170 Dresden, Germany
2598 1962 57810 Bangor, ME
1158 2208 80770 Ontario, CA
1330 464 168726 Grand Island, NE
2169 377 110457 Fremont, OH
1943 733 131983 Fairfield, TX
2356 524 124324 Bielefeld, Germany
5 500 109106 Waidhofen/Thaya, Austria
2963 2952 33805 Dominica, West Indies
902 1643 1934 Tabuk, Saudi Arabia
1578 1464 143595 Asheboro, NC
1318 621 127982 Islip, NY
2932 2924 67490 Pacific, MO
2684 1204 63459 Reading, England
2701 2255 125816 Armidale, NSW, Australia
794 1962 34533 Abington, MA
1729 58 161837 Amman, Jordan
1287 835 144501 Paducah, KY
1641 1745 102939 Death Valley, CA
178 1872 41101 Oslo, Norway
617 847 119563 Bariloche, Argentina
2425 319 27407 Cancun, Mexico
2378 2008 12053 Mount Butterwicky, Australia
2818 1368 124804 Fort Dodge, IA
1840 85 126488 Mauston, WI
1117 1375 87748 Manila, Philippines
1894 726 149656 Pembroke, MA
2668 767 26519 Highland Falls, NY
840 2136 128333 Plymouth, NH
357 260 175838 Wheaton, IL
139 1632 64954 Cagayan de Oro, Philippines
1957 2780 188414 San Diego, CA
683 2709 160038 Mountain Grove, MO
1799 304 184155 Blaine, WA
18 104 153544 Princeton, IL
1671 2710 116194 Montpelier, OH
604 346 79145 West Sand Lake, NY
1939 835 174194 June Lake, CA
1368 2408 94646 Moses Lake, WA
580 1649 195239 Jackson, MO
118 1845 169013 Mount Shasta, CA
1944 812 139188 Scranton, PA
1924 2085 98253 Stuttgart, Germany
1644 673 175293 Cairo, Egypt
2598 789 23622 Lafayette, CA
2575 972 23632 Irving, TX
1627 327 55983 Meredith, NH
88 904 86181 Lebanon, TN
2070 2009 116279 Carle Place, NY
743 2315 120174 Gaithersburg, MD
147 1890 102922 Kadoka, SD
2744 228 125900 Bethesda, MD
178 2356 44642 Piura, Peru
280 1160 118770 Amboy, IL
1852 1290 195402 Livermore, CA
2628 2637 34993 Hamilton, Ontario, Canada
1394 1772 1146 Kingsport, TN
50 1281 83949 Pusan, South Korea
102 1312 125353 Charlottetown, Canada
2204 2221 120173 Arcola, IL
2093 1124 74953 Northampton, England
2077 2196 185173 Santa Marta, Colombia
2748 2951 150981 Oak Forest, IL
1792 2248 166281 Chester, WV
1402 2116 90577 Lisnaskea, N.Ireland
555 1046 140607 Cottbus, Germany
1818 735 6214 Blossom, TX
