2002 955 117166 Aachen, Germany
913 378 142882 Alva, OK
2982 2072 52224 Alymer, ONT, Canada
1802 82 85867 Amarillo, TX
1310 343 136500 Amberg, Germany
280 1160 118770 Amboy, IL
316 2257 54718 American Fork, UT
2804 1341 126696 Americus, GA
1881 616 47443 Amesbury, MA
1370 2528 4222 Amiens, France
1276 1655 53303 Ambleside, England
1865 2567 78452 Amersfoort, Netherlands
1008 2548 16525 Amery, WI
1792 1350 21948 Ames, IA
80 2659 44752 Amherst, MA
2127 2939 122028 Amherst, OH
909 254 72476 Amherst, WI
1729 58 161837 Amman, Jordan
630 1938 2854 Amqui, Quebec, Canada
1341 307 171344 Amsterdam, Netherlands
1405 1582 81653 Anacortes, WA
2204 447 52780 Anadarko, OH
381 1455 22642 Anaheim, CA
629 246 112589 Anahuac, TX
958 325 89813 Anchorage, AK
1629 2451 85700 Andalusia, AL
460 360 102622 Andersen AFB, Guam
1547 2088 106467 Anderson, IN
975 2718 35648 Anderson, SC
1017 1059 56098 Andover, MA
587 2463 161556 Andros Island, Bahamas
1812 1667 191316 Angelica, NY
2604 2047 88257 Angers, France
2944 2676 104604 Ankara, Turkey
1632 634 126224 Ann Arbor, MI
2980 2263 89616 Anna, IL
1265 2722 113550 Annandale, MN
2804 1268 52743 Annapolis, MD
1401 2242 33892 Anniston, AL
1936 259 104438 Antananarivo, Madagascar
2778 846 68604 Antioch, CA
2201 2658 179691 Antwerp, Belgium
2071 2261 116152 Aosta, Italy
395 2205 94510 Apex, NC
1964 836 136713 Apple Valley, CA
857 816 87514 Appleton, WI
2201 2080 68938 Aracaju, Brazil
904 1884 153462 Arboga, Sweden
1696 285 102923 Archer, FL
2204 2221 120173 Arcola, IL
770 1998 176556 Ardmore, OK
1799 1198 153724 Arequipa, Peru
1495 268 104456 Arica, Chile
237 662 51394 Arkansas City, KS
1655 2625 107125 Arlington, MA
705 482 161464 Arlington, NE
2018 2682 100110 Arlington, TX
52 586 25683 Arlington, WI
2354 2281 44653 Armagh, Northern Ireland, UK
898 1485 192664 Armenia, Colombia
2701 2255 125816 Armidale, NSW, Australia
2349 1054 5663 Armstrong, IA
1655 2548 23521 Arnhem, Netherlands
222 2785 67647 Arnold, CA
992 1439 42643 Ashburn, VA
2599 2144 74733 Asheville, NC
2021 1162 53532 Ashford, Kent, England
523 1213 92588 Ashland, KY
908 567 44646 Ascension Island
1578 1464 143595 Asheboro, NC
1468 1165 93873 Ashland, WI
355 513 164086 Ashtabula, OH
440 2167 133922 Asns, Denmark
793 2388 119534 Aspen, CO
1808 380 15430 Assen, Netherlands
2447 2979 158324 Astoria, OR
568 2000 35730 Asuncion, Paraguay
1371 2522 116584 Aswan, Egypt
2760 430 154348 Atascadero, CA
430 2008 51945 Athens, GA
2584 475 129547 Athens, WV
992 830 163710 Athens, Greece
453 1269 108156 Athlone, Rep. of Ireland
2462 2062 67343 Atkinson, IL
1255 869 92662 Atlanta, GA
1486 316 91240 Atlantic City, NJ
861 883 24539 Attleboro, MA
1397 2254 192669 Auburn, AL
146 2013 21313 Auckland, New Zealand
2461 2443 155122 Audubon, IA
240 2026 186760 Augsburg, Germany
2183 17 42043 Augusta, GA
1639 469 126632 Augusta, KS
261 2931 64049 Augusta, ME
1271 1185 121939 Augusta, W.Australia
2661 2671 142945 Aurora, CO
1030 531 1799 Aurora, IL
1398 1928 152032 Austin, MN
1288 2073 86232 Austin, TX
1608 1534 49044 Avilla, Spain
935 1773 184062 Bacolod, Philippines
736 956 185159 Bad Neustadt a.d.S., Germany
1367 2595 16420 Baden, Austria
266 2855 11767 Baghdad, Iraq
1227 1126 90732 Bahrein, Bahrein
56 787 68745 Baie-Comeau, Canada
2200 1817 104130 Baie Verte, NF, Canada
2227 214 32616 Bainbridge Island,WA
1508 1502 170786 Bakersfield, CA
2801 109 72988 Balamban, Philippines
537 1043 191166 Baldwin Park, CA
298 1779 54868 Balladonia, W.Australia
75 145 27803 Ballarat, Australia
321 410 18126 Baltimore, MD
498 1637 93180 Balve, Germany
1859 1692 145628 Bamberg, Germany
2890 892 66708 Bancroft, ON, Canada
1452 118 80959 Bandar Seri Begawan, Brunei
1941 1625 181050 Bangalore, India
1503 1426 188294 Bangkok, Thailand
2598 1962 57810 Bangor, ME
2465 2259 176360 Banjul, Gambia
288 2333 185984 Banner Elk, NC
705 2654 13315 Banta, CA
977 151 122401 Barbastro, Spain
2375 2010 35181 Barcelona, Spain
1559 1899 94598 Bardstown, KY
2560 350 102452 Barmouth, Wales, UK
774 2291 10774 Barnegat, NJ
490 793 105795 Barnstaple, England
314 390 36559 Barquisimeto, Venezuela
1181 2855 187125 Barranquilla, Colombia
827 142 142654 Barrie, ONT, Canada
617 847 119563 Bariloche, Argentina
816 1824 129620 Barstow, CA
2652 1198 63556 Bartlesville, OK
180 2756 190115 Barton City, MI
1599 2316 13427 Basel, Switzerland
136 89 166107 Basingstoke, England
297 579 18941 Bastrop, LA
1884 893 44917 Batesville, AR
2433 2073 35199 Batesville, IN
2240 2900 44657 Batesville, MS
1379 516 101092 Bath, NY
173 1332 22629 Bath, ONT, Canada
2117 983 102450 Baton Rouge, LA
70 1163 86180 Battle Creek, MI
2922 2761 40527 Bauru, Brazil
123 2897 46450 Bay St. Louis, MS
2615 194 84998 Bayreuth, Germany
2899 2077 144465 Baytown, TX
573 1509 82661 Beanblossom, IN
1101 748 75944 Beaufort, NC
1771 2127 110300 Beaufort, SC
287 2299 199042 Beauharnois, QU, Canada
627 1416 64571 Beaumaris, Wales, UK
2163 1486 142068 Beaumont, TX
456 1407 126130 Beaver Crossing, NE
1064 1530 119208 Beaverton, MI
1761 1145 132076 Becket, MA
36 1044 70528 Beckley, WV
2203 1616 171122 Bedford, IN
442 2716 20984 Bedford, MA
1582 1487 162766 Bedford, VA
236 1773 116031 Beer-Sheva, Israel
222 2399 10398 Beijing, China
1190 1562 109422 Beirut, Lebanon
321 2018 3218 Belchertown, MA
2213 81 105211 Belcourt, ND
1001 1841 181509 Belem, Brazil
2982 1876 51052 Belfast, N. Ireland
1040 1078 158755 Belfield, ND
607 1520 139819 Belgrade, Serbia
922 101 38899 Belize City, Belize
363 337 157087 Bella Vista, Argentina
2104 558 117010 Belle Isle, FL
2260 1748 21119 Belle Mead, NJ
901 2069 155593 Bellefontaine, OH
949 1281 160958 Belleville, ONT, Canada
2528 2282 83663 Bellingham, WA
2250 2264 8706 Bellinzona, Switzerland
16 304 80552 Belluno, Italy
2397 911 181860 Belo Horizonte, Brazil
1495 1832 188575 Belsingborg, Sweden
2078 2195 10996 Bemidji, MN
1434 1299 48165 Ben Guerir, Morocco
190 558 164652 Benalla, Australia
506 1459 102526 Bend, OR
2840 2408 187915 Bendigo, VC, Australia
2255 1935 140027 Benicia, CA
509 1184 90938 Bennington, VT
640 1200 111173 Benson, AZ
1848 597 171856 Benton, AR
1576 2091 93969 Benton City, WA
1405 1168 40279 Benton Harbor, MI
1570 2602 126815 Bentonville, AR
2292 2791 163974 Bergen, Norway
1762 297 61178 Berkeley, CA
300 137 21645 Berkeley Springs, WV
119 2391 150586 Berkley, MA
2219 2900 29508 Berkley, MI
583 539 109463 Berlin, Germany
2251 2387 149206 Berlin, NH
1829 963 88555 Bern, Switzerland
238 2367 166409 Berwick-upon-Tweed, England
842 936 139854 Besanon, France
2744 228 125900 Bethesda, MD
2204 1990 145665 Bethlehem, NH
122 2289 154743 Bethlehem, PA
446 2407 114090 Bettendorf, IA
2705 1626 107369 Beulaville, NC
148 2208 143286 Bialystok, Poland
1790 1459 102392 Biarritz, France
1028 287 166546 Biddeford, ME
2356 524 124324 Bielefeld, Germany
1852 1366 186722 Big Rapids, MI
950 1110 1903 Bilbao, Spain
2839 313 134521 Billings, MT
2023 435 87100 Biloxi, MS
1345 881 47555 Binan, Philippines
56 585 155913 Binghamton, NY
1666 733 103111 Birkenfeld, Germany
816 2522 156743 Birkerd, Denmark
549 291 123289 Birmingham, AL
2905 815 47613 Birmingham, England
1756 2181 34334 Birmingham, MI
2706 290 36237 Bishop, CA
2544 603 170757 Bishop's Stortford, England
1567 1037 57857 Bismarck, ND
2911 1917 105412 Blackpool, England
2967 2502 61324 Blacksburg, VA
1633 234 164434 Blackshear, GA
2448 2755 164755 Bladenboro, NC
1799 304 184155 Blaine, WA
648 208 38471 Blairsville, GA
1362 1964 183819 Blakeslee, PA
1877 1669 3127 Blenheim, New Zealand
2421 1213 43301 Bloemfontein, South Africa
1982 2779 112419 Bloomington, MN
2850 2690 40210 Bloomington, IN
1431 2656 6983 Bloomington, IL
2351 1288 22557 Bloomsburg, PA
1818 735 6214 Blossom, TX
1289 2534 26439 Bluefield, WV
1051 181 40273 Bluffton, SC
1628 1543 171165 Blumenau, Brazil
1386 420 82418 Blythe, CA
1433 2841 163234 Blytheville, AR
2082 1823 148479 Boardman, OH
768 1672 127762 Boardman, OR
1372 103 104781 Boca del Cielo, Mexico
1476 2454 190603 Boca Raton, FL
1815 1271 39580 Bochum, Germany
1908 2560 8454 Boden, Sweden
2304 611 20514 Bogota, Colombia
2908 2239 123373 Boise, ID
2476 624 151364 Bolingbrook, IL
712 2056 140722 Bolivar, OH
161 1138 62206 Bolivar, NY
2388 1906 173671 Bologna, Italy
1304 277 180528 Bombay, India
2876 1753 144102 Bonham, TX
2735 567 28827 Bonn, Germany
329 2474 199456 Bonne Terre, MO
456 1778 40145 Boone, IA
763 1686 189365 Bordeaux, France
2614 1161 30934 Borlnge, Sweden
1884 1873 167979 Bordentown, NJ
995 2033 43799 Boston, England
1928 1421 170814 Boston, NY
1533 2725 189234 Boston, MA
1241 2600 106039 Boucherville, Canada
403 2335 143788 Boulder, CO
835 2663 108691 Bound Brook, NJ
827 118 27189 Bountiful, UT
1429 881 139553 Bourges, France
1270 494 16947 Bournemouth, England
1734 2378 141789 Bowen, QLD, Australia
1253 372 77311 Bowie, MD
1910 2300 171993 Bowling Green, KY
1472 833 153595 Bowling Green, OH
1311 2073 126898 Bowman, GA
2901 2476 82503 Bowmanville, Canada
2058 310 59991 Boxford, MA
689 1136 67814 Boyne City, MI
1096 2565 126487 Boynton Beach, FL
190 834 159381 Bozeman, MT
444 2567 117861 Bozen/Bolzano, Italy
2571 820 142647 Bradenton, FL
730 2730 95945 Bradford, PA
310 1201 151425 Bracknell, England
2614 2512 89615 Braga, Portugal
1518 2413 54616 Brampton, ON, Canada
2755 1471 75254 Branford, CT
655 2159 150986 Branson, MO
1672 255 121955 Brasilia, Brazil
570 444 177527 Bratislava, Slovakia
2960 887 148635 Braunschweig, Germany
1728 458 3258 Brazil, IN
868 1188 185193 Brea, CA
2307 1498 65256 Breckenridge, CO
1578 1111 32678 Breckenridge, MI
2923 2628 193500 Breda, Netherlands
742 2383 91507 Breedsville, MI
1871 38 35392 Breese, IL
1136 1710 52341 Bremen, Germany
2965 2279 81909 Bremerton, WA
2628 2239 141040 Brentwood, CA
1857 966 171522 Brentwood, NY
1906 1834 50668 Brescia, Italy
1684 1140 150469 Brest, France
2663 2718 24520 Brevard, NC
153 2641 199719 Brewster, NY
55 382 158569 Brick, NJ
1428 2252 161060 Bridgeport, CA
1959 387 75006 Bridgeport, CT
2744 352 26894 Bridgetown, Barbados, West Indes
973 2979 176103 Bridgeview, IL
88 1835 40494 Bridgewater, NS, Canada
2661 741 162715 Bridgman, MI
421 2425 38709 Brighton, England
2678 2087 19902 Brighton, MI
46 2239 195908 Brisbane, Australia
42 2294 21342 Bristol, CT
2420 722 171458 Bristol, England
1836 2680 197241 Bristol, TN
2961 2424 20645 Bristol, VA
365 396 19196 Bristolville, OH
6 484 141529 Brno, Czech Republic
614 144 190901 Brockton, MA
54 565 152505 Brodheadsville, PA
635 243 91595 Broken Hill, NSW, Australia
933 288 40850 Bromley, England
872 329 193769 Bronson, MI
1192 2749 41858 Brookings, OR
764 1584 20509 Brooklyn, MI
723 1545 182063 Broome, W.Australia
1032 1909 8428 Brooten, MN
1320 1915 40643 Brownsburg, IN
443 2528 50230 Brownsville, TX
307 2582 87856 Brownwood, TX
2594 216 103990 Brunswick, GA
968 1149 123151 Brunswick, ME
1581 2021 145059 Brussels, Belgium
1487 212 128281 Bucaramanga, Colombia
2115 976 33878 Bucharest, Romania
2423 1698 136856 Budapest, Hungary
2154 2730 64107 Buenos Aires, Argentina
2280 1050 191735 Buffalo, MN
2890 1492 160234 Buffalo, NY
643 1798 132316 Buffalo Grove, IL
1961 1392 146693 Bullhead City, AZ
521 2360 23265 Bunbury, W.Australia
2368 940 157940 Burbank, CA
1544 2427 172061 Burke, VA
468 1542 37084 Burleson, TX
977 964 150251 Burlington, CT
29 118 132206 Burlington, ON, Canada
991 2397 2144 Burlington, VT
867 2287 101593 Burlington, WA
270 2930 21455 Burnie, Australia
2255 1890 114233 Burns, OR
1456 2411 71522 Burns, TN
1805 1779 134171 Burns Flat, OK
1174 322 95948 Burnsville, NC
755 790 198710 Butte, MT
1311 1766 62966 Buxtehude, Germany
565 1795 70778 Byron Center, MI
2548 2785 30575 Cceres, Spain
2580 652 182997 Cabanatuan City, Philippines
1104 922 178275 Cabot, AR
1425 176 104265 Cdiz, Spain Caen, France
139 1632 64954 Cagayan de Oro, Philippines
1212 436 183495 Cahors, France
224 1609 4946 Caimanero, Sinaloa, Mexico
1664 2363 57586 Cairns, Australia
1644 673 175293 Cairo, Egypt
2589 1237 94922 Calcutta, India
650 784 80581 Calgary, Canada
1109 364 124003 Calhoun, KY
854 1467 185423 Cali, Colombia
528 2892 197156 Caloundra, QU, Australia
2092 30 105895 Camarillo, CA
66 1241 134902 Cambridge, MA
2819 1465 42119 Cambridge, England
2893 128 199605 Cambridge, MD
757 1772 44443 Cambridge, ONT, Canada
386 1360 126884 Cambridge Bay, NWT, Canada
1810 2010 179133 Camp Verde, AZ
19 118 3334 Campana, Argentina
1879 972 101079 Campbell, CA
1660 1499 93822 Campbellton, NB, Canada
1617 591 95796 Campina Grande, Brazil
206 657 178523 Campinas, Brazil
2229 475 76174 Campos, Brazil
2861 367 84694 Canadian, TX
2855 1124 2794 Canberra, Australia
522 1509 93439 Canby, MN
2425 319 27407 Cancun, Mexico
2112 337 35272 Cannes, France
2162 2215 100031 Canosa di Puglia, Italy
678 874 199958 Canterbury, England
2085 2491 39319 Canton, IL
522 2696 83067 Canton, OH
200 1925 114697 Canton, TX
1343 1786 139154 Canute, OK
2613 1640 14024 Canvey Island, England
2655 2162 114599 Capac, MI
1057 1586 135802 Cap-de-la-Madeleine, QU, Canada
1468 698 158211 Cape Canaveral, FL
1997 2859 105831 Cape Girardeau, MO
497 537 164085 Cape Town, South Africa
497 2622 130127 Capitola, CA
1087 144 109853 Carbondale, PA
2333 343 38164 Caribou, ME
1053 1686 157178 Caracas, Venezuela
140 1299 66501 Carbondale, IL
351 953 10574 Cardiff, Wales, UK
2070 2009 116279 Carle Place, NY
1107 477 162751 Carlisle, England
480 2473 153322 Carlisle, MA
2067 2970 189070 Carlsbad, NM
1529 466 163817 Carlsbad, CA
480 1552 173359 Carman, Canada
2128 884 196218 Carnarvon, Australia
2701 1937 108568 Cary, NC
2058 2077 195103 Caro, MI
56 2427 58615 Carol Stream, IL
214 1496 192545 Carroll, IA
1959 2602 24298 Carrollton, OH
1400 81 189146 Cartagena, Colombia
700 2148 187120 Cartago, Colombia
536 676 18177 Cartago, Costa Rica
2993 1156 121635 Carterville, IL
2593 284 180562 Casa Grande, AZ
2537 2984 109653 Casablanca, Morocco
1165 2042 48063 Casar, NC
1092 2097 9813 Cascavel, Par., Brazil
1971 2311 109504 Casino, NSW, Australia
1859 1269 82937 Casper, WY
2224 2668 88322 Casselberry, FL
2061 367 31490 Cassville, MO
1868 903 76526 Castlegar, BC, Canada
2140 895 153555 Castle Rock, CO
965 488 172431 Castro Valley, CA
673 24 171317 Cathey's Valley, CA
2318 1189 107390 Cebu City, Philippines
39 2280 47151 Cedar City, UT
186 1250 1173 Cedar Falls, IA
1829 109 85735 Cedar Rapids, IA
73 2332 63589 Cedar Springs, MI
1397 1392 88054 Celle, Germany
1870 259 148202 Center Moriches, NY
18 2399 7848 Centerport, NY
2321 363 40352 Centerville, IA
1907 1036 41932 Centralia, IL
1477 353 121155 Ceres, Argentina
88 391 73124 Cessnock, NSW, Australia
795 577 156453 Chamberlain, SD
813 2405 163686 Champaign-Urbana, IL
2099 2477 119122 Chandigarh, Punjab, India
53 874 11906 Chandler, QUE, Canada
1374 2743 29158 Chantilly, VA
597 2761 189054 Chapel Hill, NC
714 2081 13229 Charles City, IA
1320 988 82245 Charleston, IL
1949 2465 105755 Charleston, RI
766 2552 131821 Charleston, SC
1863 347 170255 Charleston, VT
1209 1160 130562 Charleston, WV
665 258 95678 Charlestown, NV, West Indies
2452 310 153924 Charlevoix, MI
2630 1683 136790 Charlotte, NC
68 2279 120801 Charlotte Amalie, US Virgin Islands
2903 2993 59511 Charlottesville, VA
102 1312 125353 Charlottetown, Canada
1335 260 89641 Charter Oak, IA
2922 1025 59766 Chatham, On, Canada
1899 2888 82877 Chattanooga, TN
1453 1097 160146 Chehalis, WA
411 1761 177308 Chelmsford, England
1846 1212 197952 Chelsea, MI
1155 842 110130 Cheltenham, England
207 909 62045 Chennai, India
2019 811 61544 Chesapeake, VA
2912 913 148979 Chester, England
1792 2248 166281 Chester, WV
137 2169 34606 Chesterton, IN
1033 1067 27077 Cheyenne, WY
2276 2520 100145 Chiang Mai, Thailand
1678 2930 17498 Chiba, Japan
1338 1776 98256 Chibougamau, Canada
1307 2931 154325 Chicago, IL
2959 138 14861 Chiclayo, Peru
890 2156 68919 Chico, CA
1813 2068 129726 Chicopee, MA
1048 859 79527 Chicoutimi, Quebec, Canada
542 995 24075 Chiefland, FL
1061 2028 95191 Chihuahua, Mexico
1467 1304 63129 Chillicothe, MO
2969 2982 58451 China Lake, CA
232 1319 176835 China Spring, TX
1706 2626 172203 Chinandega, Nicaragua
1021 2585 181347 Chino Hills, CA
1244 475 125065 Chinook, MT
2277 2287 62870 Chisasibi, QU, Canada
1223 335 120113 Chittagong, Bangladesh
2416 876 186436 Choudrant, LA
2777 1937 121603 Christchurch, New Zealand
1205 404 8491 Christiansburg, VA
2152 372 7246 Christmas Island
29 604 95175 Cimarron, NM
2681 2309 70229 Cincinnati, OH
2264 329 42538 Ciudad del Este, Paraguay
1984 1572 74147 Ciudad Guayana, Venezuela
860 849 26599 Clare, MI
1804 2072 48873 Claremont, CA
605 1487 107248 Clarksburg, WV
402 1264 36332 Clarksville, MD
2226 2468 63201 Clarksville, TN
2353 1620 87999 Clatskanie, OR
2462 1648 128223 Clearfield, UT
889 1329 82129 Clearlake, CA
1943 593 104041 Clear Lake, IA
2581 2577 8821 Clemson, SC
693 437 65386 Clermont, FL
1092 2240 3462 Clermont-Ferrand, France
1825 2844 102577 Cleveland, GA
434 246 186805 Cleveland, OH
979 2471 151336 Cleveland, TN
1927 1824 59299 Clinton, IA
247 1285 169145 Clinton, IL
2170 2174 57709 Clinton, NC
402 1116 97192 Clintwood, VA
1963 697 68941 Cloverdale, CA
2095 1389 98021 Clovis, CA
76 2481 47301 Clovis, NM
128 1305 36895 Coalinga, CA
1666 1739 53238 Cobourg, ON, Canada
1468 2717 17932 Cobram, Australia
738 1644 139468 Cochabamba, Bolivia
1628 1890 25092 Cocklebiddy, W.Australia
1165 1060 169979 Cocoa Beach, FL
2031 1461 44356 Coeur d'Alene, ID
489 424 90761 Coffs Harbour, Australia
1523 2518 183341 Cold Lake, Canada
2993 2593 148694 Coldwater, MI
703 2721 35692 Coleraine, Northern Ireland
1256 1386 151584 College Park, MD
2055 2854 132700 College Station, TX
2324 592 42242 Collierville, TN
1416 2220 168207 Colmar, France
1792 385 38817 Cologne, Germany Colombo, Sri Lanka
1342 2415 136202 Colon, MI
2007 2903 164403 Colon, Panama
368 1425 132239 Colorado Springs, CO
118 1418 105095 Colrain, MA
2349 2120 86435 Columbia, SC
2884 375 178834 Columbia, MO
2158 2429 169097 Columbia, IL
1148 1752 8559 Columbia, MD
1782 167 156519 Columbus, IN
1305 1959 182122 Columbus, GA
1887 300 143076 Columbus, MS
930 2306 136571 Columbus, NE
396 2674 31549 Columbus, OH
2380 2792 126030 Como, Italy Concord, CA
956 2140 67313 Concord, NH
2253 2024 92295 Concordia, Argentina
1935 1181 54213 Conneaut, OH
1472 2329 170998 Conneautville, PA
1600 1111 182119 Connersville, IN
948 2416 112667 Conover, NC
680 1303 132619 Conroe, TX
2826 2233 86333 Conway, AR
1875 2628 64568 Conway, SC
2348 2008 50665 Conyers, GA
1238 2964 193318 Cookeville, TN
2248 2216 128218 Cookstown, ON, Canada
632 1151 6950 Coonabarabran, NSW, Australia
1446 2623 162212 Coos Bay, OR
1011 1223 36246 Cootamundra, NSW, Australia
742 2170 197258 Copenhagen, Denmark
2432 2850 84063 Coppell, TX
1422 2675 32865 Coral Springs, FL
2717 1549 8065 Corbeil-Essonnes, France
685 897 141901 Cordoba, Argentina
1445 2135 139468 Corinth, MS
1345 1382 87201 Cork, Ireland
268 2014 163933 Cornelia, GA
372 459 138760 Corner Brook, Canada
2806 1469 20242 Corning, NY
349 2211 164897 Cornwall, ON, Canada
308 1643 154847 Corona, CA
1569 64 133167 Coronado, CA
2062 2780 36428 Corpus Christi, TX
2183 464 96179 Corsham, England
1311 1909 38449 Corsicana, TX
403 253 130550 Cortex, CO
1711 521 64778 Cortland, NY
1170 893 95345 Corvallis, OR
252 698 193248 Costa Mesa, CA
555 1046 140607 Cottbus, Germany
29 1354 50087 Council Bluffs, IA
2352 2923 54307 Coventry, CT
1349 1984 39599 Coventry, England
1896 1166 70532 Coventry, RI
338 2477 197768 Covilh, Portugal
915 2880 14626 Covington, TN
2873 1591 49324 Covode, PA
845 2761 108810 Cozumel, Mexico
2275 13 155297 Crail, Fife, Scotland
2174 568 25030 Cranbrook, BC, Canada
1283 596 115267 Crawfordsville, IN
2034 2947 110070 Crescent City, CA
2849 1296 42304 Crescent City, FL
443 191 120034 Creston, BC, Canada
1501 528 85161 Creswell, OR
1467 1443 77151 Cross Plains, IN
1687 1315 183206 Crow Agency, MT
2426 2160 167257 Crown Point, IN
1059 1434 168064 Crystal Falls, MI
388 607 5868 Cudahy, WI
763 1890 45566 Cuernavaca, Mexico
2492 923 42005 Ciudad Real, Spain
1143 772 128350 Cullar, Spain
1778 1214 141029 Culiacn, Mexico
579 2714 176221 Cullowhee, NC
1856 1180 72374 Culpeper, VA
13 2867 160038 Cumberland, MD
2761 2292 103989 Cumbernauld, Scotland
2270 350 199574 Cupertino, CA
1791 738 40038 Curitiba, Brazil
1879 1501 165990 Cuthbert, GA
2563 993 27513 Cuzco, Peru
193 2136 78916 Dacula, GA
2118 913 159796 Dahlenburg, Germany
1233 1491 140685 Dahlonega, GA
877 347 19351 Dakar, Senegal
1962 359 10419 Dallas, TX
1363 120 163213 Dalton, GA
2923 2390 186541 Dana Point, CA
2916 1180 35700 Danbury, CT
517 59 135720 Dandenong, Australia
7 2621 1867 Danvers, MA
419 2813 144211 Danville, IL
1603 1930 5056 Danville, VA
1000 163 104435 Darien, CT
110 1039 127510 Dar es Salaam, Tanzania
401 1 151430 Darmstadt, Germany
557 1363 159402 Darwin, Australia
5 1286 118681 Davenport, IA
2803 1201 197332 Davis, CA
339 1718 1222 Dayton, OH
2374 1724 175918 Dayton, TX
2402 2143 163423 Daytona Beach, FL
1566 745 92087 Dearborn, MI
1641 1745 102939 Death Valley, CA
208 1854 172200 Deauville, PQ, Canada
2121 2254 172243 Decatur, AL
1392 2811 63106 Decatur, IL
783 2815 148777 Dededo, GM
2563 2618 28829 Deer Park, OH
2523 2956 143301 Deggendorf, Germany
2542 2330 58182 DeKalb, IL
2180 1732 108741 Del Rio, TX
297 760 129139 De Land, FL
2504 1557 142966 Delft, Netherlands
1358 1140 84303 Delhi, India
612 724 177070 Delphi, IN
422 1670 29237 Delphos, KS
237 902 190220 Delran, NJ
1334 2524 187245 Delray Beach, FL
484 2065 142528 Deltona, FL
1357 1245 57937 Den Haag, Netherlands
1371 2876 77683 Den Helder, Netherlands
2131 2889 6822 Denbigh, Wales, UK
1634 1445 149788 Denison, TX
2991 2585 34090 Dennis Port, MA
602 308 11159 Denpasar, Indonesia
1024 1977 40396 Denton, TX
1260 2879 40480 Denver City, TX
1113 1213 8744 Denver, CO
922 1696 146408 Depew, NY
60 52 29390 Derby, England, UK
929 1423 21112 Derby, Western Australia
2094 553 13661 Derry, NH Des Moines, IA
2196 2186 109974 Des Plaines, IL
1443 2177 82253 Desert Hot Springs, CA
1954 2779 102738 Destin, FL
2122 802 34536 Detroit, MI
2728 2062 26423 Devine, TX
335 174 107227 Dexter, MI
466 1096 20249 Dexter, MO
2662 1155 23672 Dhahran, Saudi Arabia
103 2083 118478 Dhaka, Bangladesh
420 1177 155292 Dickinson, ND
625 372 101007 Dijon, France
2274 1815 46111 Dingman's Ferry, PA
508 769 31346 Dnipropetrovsk, Ukraine
2049 2890 84803 Dodge City, KS
2567 2618 22216 Doha, Qatar
2963 2952 33805 Dominica, West Indies
1572 418 106815 Dordrecht, Netherlands
1876 80 183772 Dorking, England
2231 182 122614 Dortmund, Germany
1008 601 1023 Dothan, AL
337 1226 25820 Douala, Cameroon
1852 499 146793 Douglas, AZ
2544 1007 198031 Douglas, I.Man, England
14 56 190693 Dover, DE
1286 2622 165175 Downers Grove, IL
1619 2585 161957 Downey, CA
2126 1157 189781 Doylestown, PA
729 32 195056 Drayton Valley, AL, Canada
485 2262 7170 Dresden, Germany
2324 269 47236 Dryden, ON, Canada
2340 606 128914 Dubai, United Arab Emirates
2727 2458 162178 Dublin, Ireland
1929 2001 29281 Dubuque, IA
1899 2015 32959 Duisburg, Germany
1760 301 7748 Duluth, MN
1237 1920 180070 Dublin, OH
